YEAR,WAVE,SUB_REG,ST,MODE_FX,AREA_X,ESTRIPS,NUMVAR,MODE,AREA,status
1987,5,5,36,7,5,516142.17533,5793612892.6,PRIVATE/RENTAL BOAT,INLAND,FINAL
1987,6,5,36,3,1,66841.85002,681242462.05,SHORE,OCEAN (<= 3 MI),FINAL
1987,6,5,36,3,5,439815.87373,4892085538.1,SHORE,INLAND,FINAL
1987,6,5,36,6,1,8880.1657318,31605149.904,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1987,6,5,36,6,2,8458.8312494,28180012.538,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1987,6,5,36,6,5,9851.0909202,37339054.054,PARTY/CHARTER BOAT,INLAND,FINAL
1987,6,5,36,7,1,57954.586615,421302966.65,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1987,6,5,36,7,2,25368.222417,168720899.06,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1987,6,5,36,7,5,221208.40664,1138544482.8,PRIVATE/RENTAL BOAT,INLAND,FINAL
1988,2,5,36,3,5,396598.38591,3465048792.5,SHORE,INLAND,FINAL
1988,2,5,36,6,2,34093.049714,781101968.66,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1988,2,5,36,6,5,103890.51791,2262016430.2,PARTY/CHARTER BOAT,INLAND,FINAL
1988,2,5,36,7,1,1468.057502,2358420.6173,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1988,2,5,36,7,5,176065.64488,390134479.88,PRIVATE/RENTAL BOAT,INLAND,FINAL
1988,3,5,36,3,1,37309.701506,794441880.03,SHORE,OCEAN (<= 3 MI),FINAL
1988,3,5,36,3,5,1107172.2883,17226509687,SHORE,INLAND,FINAL
1988,3,5,36,6,1,6350.3786903,34991770.37,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1988,3,5,36,6,2,60644.365165,439157118.28,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1988,3,5,36,6,5,63574.233748,360694219.31,PARTY/CHARTER BOAT,INLAND,FINAL
1988,3,5,36,7,1,58882.92158,591609760.59,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
