YEAR,MONTH,TYPE,TrackLengthSum_km,YM
2019,Feb,ALLOTHER,16941.32951330176,2019-Feb
2019,Feb,ALLVESSELTYPES,154392.2359987607,2019-Feb
2019,Feb,CARGO,45194.994861392246,2019-Feb
2019,Feb,FISHING,52754.7546947968,2019-Feb
2019,Feb,PASSENGER,3143.593480934501,2019-Feb
2019,Feb,PLEASURECRAFTSAILING,1074.6255267567635,2019-Feb
2019,Feb,TANKER,20924.753233026087,2019-Feb
2019,Feb,TUGTOW,13397.70869661212,2019-Feb
2019,Jan,ALLOTHER,12421.083562582851,2019-Jan
2019,Jan,ALLVESSELTYPES,109296.71043878654,2019-Jan
2019,Jan,CARGO,36326.12983342764,2019-Jan
2019,Jan,FISHING,32650.58692422989,2019-Jan
2019,Jan,PASSENGER,2296.243314488232,2019-Jan
2019,Jan,PLEASURECRAFTSAILING,575.047825920105,2019-Jan
2019,Jan,TANKER,14898.24578923887,2019-Jan
2019,Jan,TUGTOW,9753.45007078302,2019-Jan
2019,Jul,ALLOTHER,42099.09315849532,2019-Jul
2019,Jul,ALLVESSELTYPES,317779.25235054875,2019-Jul
2019,Jul,CARGO,56274.48761231658,2019-Jul
2019,Jul,FISHING,67848.65195540959,2019-Jul
2019,Jul,PASSENGER,18441.294738865836,2019-Jul
2019,Jul,PLEASURECRAFTSAILING,85281.90876595622,2019-Jul
2019,Jul,TANKER,34053.65911446671,2019-Jul
2019,Jul,TUGTOW,13372.701258933068,2019-Jul
2019,May,ALLOTHER,34116.496764387724,2019-May
2019,May,ALLVESSELTYPES,230756.27326280554,2019-May
2019,May,CARGO,45956.39281506263,2019-May
2019,May,FISHING,68284.00459627743,2019-May
2019,May,PASSENGER,10154.912649743825,2019-May
2019,May,PLEASURECRAFTSAILING,29484.60004210268,2019-May
2019,May,TANKER,29151.399005624935,2019-May
2019,May,TUGTOW,13127.28236731857,2019-May
2019,Nov,ALLOTHER,34890.981874932426,2019-Nov
2019,Nov,ALLVESSELTYPES,195681.4423210709,2019-Nov
2019,Nov,CARGO,49417.652898761284,2019-Nov
2019,Nov,FISHING,57029.88059069586,2019-Nov
2019,Nov,PASSENGER,6640.807372686729,2019-Nov
2019,Nov,PLEASURECRAFTSAILING,12987.761843389868,2019-Nov
2019,Nov,TANKER,24915.364656926602,2019-Nov
2019,Nov,TUGTOW,8545.350775021314,2019-Nov
2019,Oct,ALLOTHER,43249.19759601895,2019-Oct
2019,Oct,ALLVESSELTYPES,271357.1985003979,2019-Oct
2019,Oct,CARGO,55218.9015901081,2019-Oct
2019,Oct,FISHING,81562.40844850996,2019-Oct
2019,Oct,PASSENGER,20878.85888370204,2019-Oct
2019,Oct,PLEASURECRAFTSAILING,34153.7372470074,2019-Oct
2019,Oct,TANKER,25765.875137076288,2019-Oct
2019,Oct,TUGTOW,9665.47995932418,2019-Oct
2019,Sep,ALLOTHER,53802.1184807983,2019-Sep
2019,Sep,ALLVESSELTYPES,350628.3798703996,2019-Sep
2019,Sep,CARGO,53436.15384129008,2019-Sep
2019,Sep,FISHING,124132.38847136292,2019-Sep
2019,Sep,PASSENGER,20206.477258164585,2019-Sep
2019,Sep,PLEASURECRAFTSAILING,54969.588700611144,2019-Sep
2019,Sep,TANKER,31618.147898188807,2019-Sep
2019,Sep,TUGTOW,11798.575580316543,2019-Sep
