#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 07 22 50 282  8.1 10.4  1.39  5.56  4.37 999 1012.3   5.1  11.5  -0.8 99.0 99.00
2010 01 07 23 50 290  6.9  8.9  1.39  5.26  4.37 999 1012.6   5.5  11.4  -0.9 99.0 99.00
2010 01 08 00 50 284  6.4  8.1  1.32  5.26  4.37 999 1012.4   5.4  11.4  -1.4 99.0 99.00
2010 01 08 01 50 274  6.8  8.8  1.15  5.00  4.20 999 1012.1   5.4  11.3  -1.0 99.0 99.00
2010 01 08 02 50 274  6.5  8.1  1.22  5.26  4.33 999 1012.1   5.1  11.3  -1.0 99.0 99.00
2010 01 08 03 50 262  7.6  9.6  1.08  5.00  4.12 999 1012.0   4.8  10.8  -1.1 99.0 99.00
2010 01 08 04 50 263  7.9  9.7  1.10  5.00  4.17 999 1011.7   4.3  10.7  -1.5 99.0 99.00
2010 01 08 05 50 259  7.6  9.6  1.23  4.76  4.21 999 1010.9   3.9  10.6  -1.5 99.0 99.00
2010 01 08 06 50 259  7.4  9.6  1.12  4.76  4.18 999 1010.5   3.6  10.6  -1.8 99.0 99.00
2010 01 08 07 50 260  8.0 10.6  1.31  5.56  4.19 999 1010.1   3.6  10.7  -2.4 99.0 99.00
2010 01 08 08 50 245  9.1 10.7  1.29  4.76  4.17 999 1009.8   2.9  10.7  -0.5 99.0 99.00
2010 01 08 09 50 261  8.9 10.5  1.37  5.56  4.21 999 1008.9   2.0  10.8   0.5 99.0 99.00
2010 01 08 10 50 257  9.1 11.1  1.47  5.56  4.25 999 1008.7   2.9  10.9  -0.4 99.0 99.00
2010 01 08 11 50 248  7.9  9.9  1.35  5.26  4.31 999 1008.4   2.8  10.9   0.7 99.0 99.00
2010 01 08 12 50 257  8.7 10.6  1.32  5.26  4.25 999 1007.8   3.3  10.7   0.9 99.0 99.00
2010 01 08 13 50 264  9.5 11.9  1.32  5.00  4.15 999 1007.2   2.7  10.7   1.3 99.0 99.00
2010 01 08 14 50 287  8.0  9.1  1.38  5.00  4.24 999 1006.8   2.8  10.7   1.3 99.0 99.00
2010 01 08 15 50 288  8.4 10.7  1.40  5.56  4.38 999 1005.8   3.4  10.7  -0.2 99.0 99.00
2010 01 08 16 50 289  8.8 10.6  1.49  5.56  4.43 999 1005.1   3.1  10.7  -1.1 99.0 99.00
2010 01 08 17 50 285  8.5 10.8  1.44  5.00  4.31 999 1004.5   3.2  10.7  -2.3 99.0 99.00
2010 01 08 18 50 288 11.1 13.5  1.49  4.76  4.27 999 1004.2   3.0  10.6  -2.5 99.0 99.00
2010 01 08 19 50 276 11.1 13.2  1.82  5.26  4.53 999 1004.7   2.8  10.6  -2.8 99.0 99.00
2010 01 08 20 50 275 11.8 15.4  2.01  5.26  4.65 999 1005.3   2.2  10.6  -3.3 99.0 99.00
2010 01 08 21 50 283 12.1 15.9  1.99  5.88  4.67 999 1005.7   2.0  10.7  -2.7 99.0 99.00
2010 01 08 22 50 296 11.1 15.0  2.52  6.67  5.05 999 1006.3   2.1  10.7  -2.0 99.0 99.00
2010 01 08 23 50 299 12.9 15.8  2.50  6.67  5.19 999 1006.6   3.0  10.8  -1.8 99.0 99.00
2010 01 09 00 50 289 13.4 16.1  2.77  6.67  5.36 999 1007.0   3.2  10.8  -2.0 99.0 99.00
2010 01 09 01 50 301 12.6 16.4  3.01  7.14  5.63 999 1007.9   2.4  10.8  -2.7 99.0 99.00
2010 01 09 02 50 313 13.0 17.3  3.00  7.14  5.62 999 1009.0   0.9  10.8  -4.6 99.0 99.00
2010 01 09 03 50 315 12.1 15.2  3.08  7.14  5.77 999 1010.2   0.2  10.7  -4.6 99.0 99.00
2010 01 09 04 50 313 11.8 15.2  3.12  7.69  6.00 999 1010.2  -0.2  10.7  -5.5 99.0 99.00
2010 01 09 05 50 316 11.5 14.1  2.67  7.14  5.65 999 1010.6  -0.3  10.8  -5.6 99.0 99.00
2010 01 09 06 50 324 11.0 14.1  2.52  7.14  5.42 999 1011.4  -0.6  10.8  -5.8 99.0 99.00
2010 01 09 07 50 325 10.6 13.5  2.49  6.67  5.29 999 1011.8  -0.6  10.8  -5.5 99.0 99.00
2010 01 09 08 50 326 10.8 13.9  2.41  7.14  5.18 999 1012.2  -0.4  10.9  -4.9 99.0 99.00
2010 01 09 09 50 325 11.0 14.9  2.43  6.25  5.08 999 1012.8  -0.6  10.8  -4.7 99.0 99.00
2010 01 09 10 50 324 10.3 13.0  2.30  6.67  5.05 999 1013.6  -0.8  10.8  -5.2 99.0 99.00
2010 01 09 11 50 321  9.9 12.8  2.25  6.25  5.04 999 1014.6  -0.6  10.8  -4.8 99.0 99.00
2010 01 09 12 50 335  9.7 12.4  2.16  6.25  5.00 999 1015.4  -0.9  10.9  -5.1 99.0 99.00
2010 01 09 13 50 324 10.1 12.7  2.05  6.25  4.92 999 1016.1  -1.0  10.8  -4.9 99.0 99.00
2010 01 09 14 50 332  9.1 11.7  2.06  6.67  4.92 999 1017.0  -0.9  10.8  -4.8 99.0 99.00
2010 01 09 15 50 329  7.9 10.1  1.94  5.88  4.86 999 1017.4  -1.2  10.7  -5.2 99.0 99.00
2010 01 09 16 50 324  7.7 10.5  1.80  6.25  4.85 999 1017.0  -1.2  10.7  -5.2 99.0 99.00
2010 01 09 17 50 319  7.9 11.1  1.77  5.88  4.90 999 1016.6  -1.2  10.8  -5.6 99.0 99.00
2010 01 09 18 50 328  8.4 10.3  1.69  6.25  4.65 999 1016.5  -0.8  10.8  -5.6 99.0 99.00
2010 01 09 19 50 327  9.0 11.7  1.88  5.88  4.77 999 1016.5  -0.2  10.8  -6.1 99.0 99.00
2010 01 09 20 50 325  9.2 11.8  1.78  5.56  4.59 999 1016.8   0.4  10.8  -5.7 99.0 99.00
2010 01 09 21 50 330  9.3 12.2  1.79  5.88  4.59 999 1017.2   0.8  10.9  -6.3 99.0 99.00
2010 01 09 22 50 330 11.2 14.1  1.90  5.56  4.56 999 1017.3   1.1  10.9  -6.7 99.0 99.00
2010 01 09 23 50 337 10.7 14.0  1.98  5.88  4.63 999 1018.1   1.0  10.9  -7.1 99.0 99.00
2010 01 10 00 50 339 10.9 14.4  1.98  5.88  4.66 999 1018.9   0.7  10.8  -7.6 99.0 99.00
2010 01 10 01 50 340 11.0 13.8  2.45  5.88  4.97 999 1019.2   0.4  10.8  -7.3 99.0 99.00
2010 01 10 02 50 342 10.3 12.4  2.38  6.67  5.11 999 1019.7  -0.5  10.9  -8.2 99.0 99.00
2010 01 10 03 50 352  9.5 12.0  2.28  6.67  5.14 999 1019.9  -0.9  10.9  -7.7 99.0 99.00
