"","year","month","day","hour","Dp","DpDt","DsqP","Ege","Ely","Emg","Erg","Esp","area","centers","depth","id","lat","lon","p_cent","p_edge","p_grad","pid","ptid","radius","time","type","u","uv","v","x","y","strength"
"11694",2022,8,17,3,-1.59362668357935,-17.7431244216126,17.2091786595653,0,0,0,0,0,2030000,1,8,4,38.4819084976293,-68.4621827880857,1005.88677389174,1013.88677389174,11.4879390347434,4,351,803.846421247924,44788.125,1,9.68984068036877,11.022874139544,5.25459245663242,153,278,2
"11695",2022,8,17,6,0.288482233769028,3.20865117134814,9.9335867935577,0,0,0,0,0,665625,1,6,3,38.5280981814599,-67.8868124550846,1006.17525612551,1012.17525612551,10.5919080433864,3,351,460.298835530882,44788.25,1,16.6834301573728,16.7710420842098,1.71201950175879,154,276,1
"11696",2022,10,1,21,0.0261693501529226,0.293439659950085,4.182428344851,0,0,0,0,0,625,1,0,6,38.1605119259323,-76.9284503513132,1008.44956168189,1008.44956168189,8.90141330449166,6,1,14.1047395886939,44833.875,1,3.35344633310533,18.4110804013107,18.103101370608,142,309,1
"11697",2022,10,2,6,-0.935554605527868,-10.7592727218503,5.33388476991131,0,0,0,0,0,559375,2,2,8,37.0441577171711,-72.75854060106,1008.93682234985,1010.93682234985,9.29164897041046,8,1,421.965155651575,44834.25,1,24.7908475365131,46.4943645487417,39.3336981888641,142,292,1
"11698",2022,10,2,9,-0.473179742313223,-5.28646013651477,5.8379989835641,0,0,0,0,0,546875,1,2,8,38.3255302213978,-71.809207850521,1008.46364260754,1010.46364260754,10.5699795860186,8,1,417.223823632784,44834.375,1,27.6040807800883,54.9333155950946,47.4940405372782,148,290,1
"11699",2022,10,2,12,-0.13087667348198,-1.46991340876297,5.20913184584671,0,0,0,0,0,1276250,1,4,8,38.0876617240766,-71.8892105444625,1008.33276593405,1012.33276593405,11.6664207200386,8,1,637.37194183778,44834.5,1,-2.33389065069159,9.12026893506989,-8.81659003689155,147,290,1
"11700",2022,10,2,15,0.688564340734301,7.74699147932544,5.82279024729825,0,0,0,0,0,151875,1,2,9,38.0092874110696,-71.6459773655134,1009.02133027479,1011.02133027479,11.3588202860228,9,1,219.871130356314,44834.625,1,7.10335540883012,7.67439548496819,-2.90494199521162,147,289,1
"11701",2022,10,2,18,-1.04050647439435,-11.7486546876261,5.82375695210969,0,0,0,0,0,135625,1,2,10,37.8494352551802,-71.9685359121367,1007.98082380039,1009.98082380039,11.2813647101066,10,1,207.775788564685,44834.75,1,-9.44046614251785,11.1457181711197,-5.92491624936597,146,290,1
"11702",2022,10,2,21,-0.322262941796507,-3.67191807080537,6.0310753892779,0,0,0,0,0,175000,1,2,10,37.4485081504567,-72.366338507185,1007.6585608586,1009.6585608586,11.0533588430761,10,1,236.017435970657,44834.875,1,-11.7056860566873,18.917007882979,-14.8603533331804,144,291,1
"11703",2022,10,3,0,1.88512396862294,21.3836194180513,12.2970310842551,0,0,0,0,1,335000,2,2,11,37.6453647475,-73.8974383806156,1009.54368482722,1011.54368482722,10.3036758728008,11,1,326.548330070098,44835,1,-44.9346509916831,45.5231979594595,7.29648495590661,143,297,1
"11704",2022,10,3,3,-0.452356236593478,-5.17189589885602,14.9287395063105,0,0,0,0,0,181250,0,1.67371339111924,11,37.298705075141,-74.5232352864828,1009.09132859063,1010.76504198175,11.122913040947,9,1,240.195060046646,44835.125,2,-18.4514083267633,22.4844286110365,-12.8489322795262,141,299,1
"11705",2022,10,3,12,0.938618628142722,10.6187172645963,9.4643776750366,0,0,1,0,0,1811875,2,4,5,37.7635020762656,-72.5319767487223,1009.12510516838,1013.12510516838,11.4415830858009,5,1,759.432501957386,44835.5,1,57.1540559488241,73.8074123455297,46.7006210423559,145,292,1
"11706",2022,10,3,15,-0.849276117029949,-9.62442013924751,13.1696527358631,0,0,0,0,2,83750,1,2,6,37.6876945851495,-72.2892570112439,1008.27582905135,1010.27582905135,12.6500428016849,6,1,163.274165035049,44835.625,1,7.11934370225323,7.65376028834673,-2.80980280458623,145,291,1
"11707",2022,10,3,18,-0.80459681253793,-9.10251065572984,13.2835050463767,0,0,0,0,0,66875,1,2,4,37.7635020762656,-72.5319767487223,1007.47123223881,1009.47123223881,12.257938108799,4,1,145.900560788987,44835.75,1,-7.11206045332816,7.6469860528482,2.80980280458623,145,292,1
"11708",2022,10,3,21,-0.562788617585611,-6.41494359629664,11.5920987087059,0,0,0,0,0,332500,1,4,4,37.4318488233206,-73.167312523349,1006.90844362123,1010.90844362123,11.7957397866559,4,1,325.327584376287,44835.875,1,-18.6994467086561,22.3781202316045,-12.2927197108809,143,294,1
"11709",2022,10,4,0,0.455411132797017,5.21968326257116,6.44017614985023,0,0,0,0,0,75000,1,2,4,37.1912496725492,-73.2403554304712,1007.36385475403,1009.36385475403,11.6498214775706,4,1,154.509680809276,44836,1,-2.15672208850764,9.174891621267,-8.91780164025521,142,294,1
